更新时间,#genre#
20260629-08-26-08,url


RespoTime,whitelist,#genre#
512.95ms,CCTV1,http://116.2.175.131:4010/rtp/232.0.0.27:1234
512.42ms,CCTV1,http://39.77.159.240:4002/rtp/239.253.254.89:8000
477.36ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.33:8002
429.10ms,CCTV1,http://60.4.30.177:8077/rtp/239.253.92.83:8012
476.27ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.81:8176
475.05ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.126:8002
496.84ms,CCTV1,http://39.77.158.228:4002/rtp/239.253.254.77:8000
416.82ms,CCTV1,http://114.226.212.154:8787/rtp/239.49.8.129:6000
509.63ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.210:8068
422.09ms,CCTV1,http://39.77.158.228:4002/rtp/239.253.254.89:8000
481.02ms,CCTV1,http://114.226.212.153:8787/rtp/239.49.8.129:6000
535.06ms,CCTV1,http://115.171.216.46:4000/rtp/225.1.8.33:8002
512.29ms,CCTV1,http://171.119.207.198:6000/rtp/226.0.2.153:9136
512.04ms,CCTV1,http://114.226.212.153:8787/rtp/239.49.8.19:9614
523.58ms,CCTV1,http://124.112.241.36:4022/rtp/238.1.78.166:7200
492.86ms,CCTV1,http://106.59.2.32:55555/rtp/239.200.200.2:8080
512.86ms,CCTV1,http://171.8.169.175:8800/rtp/239.16.20.1:10010
497.87ms,CCTV1,http://106.59.2.32:55555/rtp/239.200.200.14:8852
496.44ms,CCTV1,http://183.164.236.214:8888/rtp/238.1.78.166:7200
475.50ms,CCTV1,http://106.59.2.32:55555/rtp/239.200.201.45:8800
473.93ms,CCTV1,http://115.171.216.46:4000/rtp/225.1.8.1:8008
424.44ms,CCTV1,http://39.77.159.240:4002/rtp/239.253.254.77:8000
507.76ms,CCTV1,http://114.226.212.154:8787/rtp/239.49.8.19:9614
279.99ms,CCTV1,https://t.freetv.fun/live/cctv1-7.m3u8
287.98ms,CCTV1,https://t.freetv.fun/live/cctv-1-1.m3u8
284.66ms,CCTV1,https://t.freetv.fun/live/cctv1-8.m3u8
288.67ms,CCTV1,https://t.freetv.fun/live/cctv1-11.m3u8
291.20ms,CCTV1,https://t.freetv.fun/live/cctv1.m3u8
314.29ms,CCTV1,https://t.freetv.fun/live/cctv1-4.m3u8
488.51ms,CCTV1,http://115.171.216.46:4000/rtp/225.1.8.53:8060
297.14ms,CCTV1,https://t.freetv.fun/live/cctv1-3.m3u8
297.62ms,CCTV1,https://t.freetv.fun/live/cctv-1-2.m3u8
475.07ms,CCTV1,http://106.59.2.85:55555/rtp/239.200.200.2:8080
487.07ms,CCTV1,http://115.171.216.46:4000/rtp/225.1.8.81:8176
497.81ms,CCTV1,http://115.171.216.46:4000/rtp/225.1.8.126:8002
446.89ms,CCTV1,http://114.226.212.155:8787/rtp/239.49.8.19:9614
501.36ms,CCTV1,http://106.59.2.85:55555/rtp/239.200.200.14:8852
407.59ms,CCTV1,http://183.11.239.36:808/hls/19/index.m3u8
455.88ms,CCTV1,http://106.59.2.85:55555/rtp/239.200.201.45:8800
469.20ms,CCTV1,http://115.171.216.46:4000/rtp/225.1.8.210:8068
474.39ms,CCTV1,http://106.59.2.85:55555/rtp/239.200.200.117:8712
478.22ms,CCTV1,http://115.171.216.46:4000/rtp/225.1.8.194:4120
477.61ms,CCTV1,http://114.226.212.155:8787/rtp/239.49.8.129:6000
122.72ms,CCTV1,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009
331.74ms,CCTV1,http://120.211.62.180:8000/hls/1/index.m3u8
205.13ms,CCTV1,http://173.208.212.130:8181/720p/cctv1.m3u8
1191.74ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.194:4120
