# 更新标记: 2026-04-09 22:25:52
🌐央视频道,#genre#
CCTV1,http://39.77.25.187:4002/rtp/239.253.254.77:8000
CCTV2,http://39.77.25.187:4002/rtp/239.253.254.232:8000
CCTV3,http://39.77.25.187:4002/rtp/239.253.254.191:8000
CCTV4,http://39.77.25.187:4002/rtp/239.253.254.111:8000
CCTV5,http://39.77.25.187:4002/rtp/239.253.254.192:8000
CCTV6,http://39.77.25.187:4002/rtp/239.253.254.193:8000
CCTV7,http://39.77.25.187:4002/rtp/239.253.254.233:8000
CCTV8,http://39.77.25.187:4002/rtp/239.253.254.194:8000
CCTV9,http://39.77.25.187:4002/rtp/239.253.254.79:8000
CCTV10,http://39.77.25.187:4002/rtp/239.253.254.234:8000
CCTV11,http://39.77.25.187:4002/rtp/239.253.254.169:8000
CCTV12,http://39.77.25.187:4002/rtp/239.253.254.235:8000
CCTV13,http://pull-hls-f11.douyincdn.com/media/stream-695579599148417708.m3u8?arch_hrchy=w1&exp_hrchy=w1&expire=1776158026&major_anchor_level=common&sign=570d99ae8e46e223e5dcf8866006b64d&t_id=037-2026040717134608B5CC3E9E05A50957E4-1VdjWb
CCTV14,http://39.77.25.187:4002/rtp/239.253.254.236:8000
CCTV15,http://39.77.25.187:4002/rtp/239.253.254.170:8000
CCTV16,http://69.30.246.194/live/cctv16.m3u8
CCTV17,http://39.77.25.187:4002/rtp/239.253.254.168:8000
CCTV4K,http://124.112.188.222:4022/rtp/238.1.78.137:6968
CCTV8K,https://t.freetv.fun/live/cctv8k.php
CCTV5+,http://39.77.25.187:4002/rtp/239.253.254.80:8000
CCTV+1,https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8
CCTV+2,https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL2.smil/playlist.m3u8
CCTV书画,http://183.11.239.36:808/hls/33/index.m3u8
CCTV中视购物,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV09.m3u8
CCTV中学生,http://183.11.239.36:808/hls/24/index.m3u8
CCTV老故事,http://183.11.239.36:808/hls/26/index.m3u8
CCTV发现之旅,http://hlsztemgsplive.miguvideo.com:8080/wd_r3/cnr/faxianzhilv/1000/index.m3u8?msisdn=2026040920020801c9f34681d54d55894f281560aa78cb&mdspid=&spid=699004&netType=0&sid=5500212893&pid=2028597139&timestamp=20260409200208&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=624878970&ParentNodeID=-99&assertID=5500212893&client_ip=171.8.79.254&SecurityKey=20260409200208&promotionId=&mvid=5100001701&mcid=500020&playurlVersion=WX-A1-9.3.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=de7fdcb579666dd2f872377ecc85f14e
CCTV文化精品,http://171.119.206.23:6000/rtp/226.0.2.219:9664
CCTV风云剧场,http://171.119.206.23:6000/rtp/226.0.2.227:9728
CCTV兵器科技,http://171.119.206.23:6000/rtp/226.0.2.223:9696
CCTV第一剧场,http://171.119.206.23:6000/rtp/226.0.2.221:9680
CCTV央视台球,http://171.119.206.23:6000/rtp/226.0.2.216:9640
CCTV风云足球,http://171.119.206.23:6000/rtp/226.0.2.225:9712
CCTV世界地理,http://171.119.206.23:6000/rtp/226.0.2.222:9688
CCTV风云音乐,http://171.119.206.23:6000/rtp/226.0.2.220:9672
CCTV女性时尚,http://171.119.206.23:6000/rtp/226.0.2.226:9720
CCTV怀旧剧场,http://171.119.206.23:6000/rtp/226.0.2.224:9704
CCTV电视指南,http://171.119.206.23:6000/rtp/226.0.2.218:9656
CCTV游戏风云,http://183.220.107.138:4022/rtp/239.10.0.103:5140
CCTV中国天气,http://223.198.242.123:4000/rtp/239.253.64.79:5140
CCTV高尔夫网球,http://171.119.206.23:6000/rtp/226.0.2.217:9648
CCTV卫生健康,http://38.75.136.137:98/gslb/dsdqpub/wsjk.m3u8?auth=testpub
CCTV-卫生健康,http://107.150.60.122/live/wsjk.m3u8
CCTV🎁 怀旧剧场,https://iptv.catvod.com/live.php?id=CCTV%E6%80%80%E6%97%A7%E5%89%A7%E5%9C%BA&line=1


📡卫视频道,#genre#
北京卫视,http://171.8.171.38:8800/rtp/239.16.20.76:10760
东方卫视,http://171.8.81.10:8800/rtp/239.16.20.73:10730
天津卫视,http://114.226.212.147:8787/rtp/239.49.8.148:6000
重庆卫视,http://39.77.162.87:4002/rtp/239.253.254.38:8000
广东卫视,https://t.freetv.fun/live/yan-dong-wei-shi-gao-qing-7.m3u8
深圳卫视,https://t.freetv.fun/live/shen-zhen-wei-shi-16.m3u8
三沙卫视,http://8.138.7.223/tv/hainan.php?id=ssws
江苏卫视,http://124.114.100.98:6789/rtp/239.112.205.63:5140
浙江卫视,https://t.freetv.fun/live/zhe-jiang-wei-shi-3.php
山东卫视,https://t.freetv.fun/live/shan-dong-wei-shi-2.php
河南卫视,https://t.freetv.fun/live/he-nan-wei-shi-2.m3u8
四川卫视,http://nn.7x9d.cn/xzc2.php?ua=TW96aWxsYS81LjAgKFdpbmRvd3MgTlQgNi4xOyBXaW42NDsgeDY0KSBBcHBsZVdlYktpdC81MzcuMzYgKEtIVE1MLCBsaWtlIEdlY2tvKSBDaHJvbWUvMTA2LjAuMC4wIFNhZmFyaS81MzcuMzY=&hls=aHR0cDovLzIyMi44NS4xOTguOTI6ODAwMC9obHMvNDcvaW5kZXgubTN1OA==
农林卫视,http://111.56.90.5/000000000000/1000000005000266003/1.m3u8
康巴卫视,https://stream1.freetv.fun/0de2ac9a0e7c3146b44c21f35ce10496eff2b9f67f7b9a106ba8493bf2d9cbee.ctv
安多卫视,https://iptv.catvod.com/live.php?id=%E5%AE%89%E5%A4%9A%E5%8D%AB%E8%A7%86&line=2
河北卫视,http://111.56.90.5/000000000000/7314569012827301115/1.m3u8
湖南卫视,https://iptv.catvod.com/live.php?id=%E6%B9%96%E5%8D%97%E5%8D%AB%E8%A7%86&line=4
湖北卫视,https://iptv.catvod.com/live.php?id=%E6%B9%96%E5%8C%97%E5%8D%AB%E8%A7%86
安徽卫视,http://223.198.242.123:4000/rtp/239.253.64.129:5140
东南卫视,http://123.118.50.175:8686/rtp/239.3.1.156:8148
海峡卫视,http://38.64.72.148:80/hls/modn/list/4009/playlist.m3u8
厦门卫视,https://stream1.freetv.fun/c71a50d5cca22f2d65d97b8c3a3fb64d48fd6446bdba4c5a08135de2b235e837.m3u8
陕西卫视,http://60.13.52.236:65500/newlive/live/hls/38/live.m3u8
辽宁卫视,http://171.8.171.38:8800/rtp/239.16.20.95:10950
江西卫视,http://111.56.90.5/000000000000/1000000005000265032/1.m3u8
黑龙江卫视,https://iptv.catvod.com/live.php?id=%E9%BB%91%E9%BE%99%E6%B1%9F%E5%8D%AB%E8%A7%86&line=2
吉林卫视,http://39.77.162.87:4002/rtp/239.253.254.173:8000
山西卫视,http://223.198.242.123:4000/rtp/239.253.64.31:5140
广西卫视,http://114.226.212.147:8787/rtp/239.49.1.40:6000
云南卫视,http://223.198.243.100:4000/rtp/239.253.64.147:5140
贵州卫视,https://t.freetv.fun/live/gui-zhou-wei-shi-11.m3u8
甘肃卫视,https://iptv.catvod.com/live.php?id=%E7%94%98%E8%82%83%E5%8D%AB%E8%A7%86%E5%8F%B0
内蒙古卫视,http://39.152.103.17:8089/tsfile/live/1085_1.m3u8?key=txiptv&playlive=1&down=1
